Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
25,4445,GPT,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'awesome', 'amazing', 'outstanding', and 'never seen anything like it' have high importance scores. Additionally, the words 'music', 'performance', and 'show' also have high importance scores, indicating that the overall experience of watching the movie was enjoyable.",Positive sentiment,7,7
26,14404,GPT,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""worst"" (0.28), ""forced"" (0.11), ""endure"" (-0.02), and ""sadly"" (0.02) have high importance scores indicating {placeholder} sentiment. Additionally, words like ""lacking"" (0.11) and ""ever"" (-0.02) also contribute to the {placeholder} sentiment.",Negative sentiment,6,7
27,7222,ER,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >",excellent enjoyed informative recommend well,Positive sentiment,7,7
28,3857,HM,,,Positive sentiment,5,5
29,14418,ER,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .",weak poorly Good Looks bad,Negative sentiment,5,6
30,16478,ER,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .",great dream ! ! way,Positive sentiment,6,5
31,16478,HM,,,Positive sentiment,6,6
32,3857,ER,this is a great movie . too bad it is not available on home video .,great Too bad home .,Positive sentiment,6,4
33,16461,SMV,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,"» was potentially the worst film i have ever « 
is most important for the prediction.",Negative sentiment,7,7
34,13847,SMV,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .","The phrase » this entertaining yet admittedly «
is most important for the outcome.",Positive sentiment,6,7
35,14404,ER,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,worst Sadly funniest lacking not,Negative sentiment,1,3
36,18588,SMV,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .","The phrase » me into a bad « was important
and the word » movie « was also salient.",Negative sentiment,1,5
37,4913,GPT,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'dreams', 'made', 'complete', 'dream', 'open', and 'superb effort' have high importance scores. These words suggest that the movie is well-made and enjoyable. Additionally, the words 'great cinematography', 'acting', and 'script' also have high importance scores, indicating that these elements of the movie were well-received and contributed to the {placeholder} sentiment.",Positive sentiment,7,7
38,20534,GPT,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""horrible"", ""terrible"", and ""waste"" have high importance scores, indicating that they strongly contribute to the {placeholder} sentiment of the review. Additionally, words like ""hard"", ""even"", and ""life"" have negative importance scores, indicating that they also contribute to the {placeholder} sentiment of the review. Overall, the importance scores suggest that the review is strongly {placeholder}.",Negative sentiment,7,7
39,3718,GPT,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words with positive importance scores outweigh the words with negative importance scores. The words ""town"", ""pain"", ""suffering"", ""help"", ""might"", and ""funny"" have positive importance scores, while only the words ""evil"", ""warlord"", ""samurai"", ""climax"", ""revenge"", and ""crush"" have negative importance scores. Additionally, the high importance score of 2.14 for the word ""funny"" suggests that the humor in the movie had a significant impact on the sentiment analysis.",Positive sentiment,7,7
40,4445,SMV,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""","The span » amazing . the music is « 
is most important for the outcome.",Positive sentiment,5,5
41,5139,GPT,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words like ""low budget"", ""poor cast"", and ""not worth much praise"". These words indicate that the movie did not meet the reviewer's expectations and was not of high quality. Additionally, the positive importance scores associated with words like ""original"" and ""well thought"" were not strong enough to outweigh the negative scores.",Negative sentiment,7,7
42,4547,HM,,,Negative sentiment,3,3
43,16531,GPT,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""bad"", ""trash"", and ""worst"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""hurt"" and ""laughed"" have lower importance scores but still contribute to the {placeholder} sentiment prediction. Overall, the review contains more {placeholder} words and sentiments than {placeholder} ones, leading to the {placeholder} sentiment prediction.",Negative sentiment,6,7
44,4688,GPT,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words 'beautiful', 'coming of age', 'romance', 'grow up', 'loved', and 'again' have high importance scores. These words are associated with {placeholder} emotions and experiences, which likely influenced the sentiment analyzer's prediction. Additionally, the reviewer mentions having loved the movie both as a teenager and again in the present year, which further reinforces the {placeholder} sentiment.",Positive sentiment,7,7
45,3857,SMV,this is a great movie . too bad it is not available on home video .,"The phrase » too bad « 
is most important for the prediction.",Negative sentiment,1,6
46,18647,GPT,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as ""disappointment"" (-2.05) and ""recycled"" (0.24), which indicate a {placeholder} tone towards the movie. Additionally, the low importance scores given to words such as ""characters"" (-0.23) and ""memorable"" (-1.03) suggest that the reviewer did not find the characters engaging or memorable, contributing to the {placeholder} sentiment. The high importance score given to the word ""intense"" (3.28) also suggests that the reviewer found some parts of the movie too overwhelming, further contributing to the {placeholder} sentiment.",Negative sentiment,7,7
47,4312,GPT,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""embarrassment"", ""lame"", ""never had a chance"", ""shame"", and ""bad premise"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""late"", ""lamented"", ""show"", and ""actors"" also have negative importance scores. Overall, the negative importance scores outweigh the positive ones, leading to the {placeholder} sentiment prediction.",Negative sentiment,7,7
48,13854,SMV,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,"The phrase » spelling is « 
and the word » thanks « 
are salient.",Positive sentiment,1,7
49,18621,ER,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .",artificial nothing yak If rent,Negative sentiment,5,5
50,13847,GPT,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words such as ""entertaining"", ""high energy action"", ""set-piece"", ""well"", and ""performance"" have high importance scores indicating a {placeholder} sentiment. However, the analyzer has also noted that the movie has some flaws such as ""too many long pauses without action"" and ""hampered by too many"" which have negative importance scores.",Positive sentiment,7,7
51,9859,SMV,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .","The word » bad « and the phrase » it is totally «
were used by the model to make its prediction.",Negative sentiment,6,6
52,14393,SMV,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .","The word » bad « is most important 
and the phrase » but then quickly fell « is also salient.",Negative sentiment,4,6
53,14480,GPT,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words like 'delight', 'depicted', 'characters', 'great', 'rather odd', and 'movie icon'. These words indicate that the reviewer enjoyed the movie and found it to be well-crafted and interesting. However, there are also some negative importance scores given to words like 'real', 'expecting', and 'put into a mulcher', which suggest that there were some aspects of the movie that the reviewer did not enjoy. Overall, the positive importance scores outweigh the negative ones, leading the sentiment analyzer to predict a {placeholder} sentiment for this review.",Positive sentiment,7,7
54,14418,GPT,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .","The sentiment analyzer has predicted this movie review as {placeholder} because 
the words ""poorly shot,"" ""last minute casting,"" ""very weak writing,"" ""not good for film,"" ""not been getting good roles lately,"" ""role was not for him,"" and ""shall stay"" all have high importance scores indicating {placeholder} sentiment. Additionally, the words ""feel bad"" and ""stay"" also contribute to the {placeholder} sentiment prediction.",Negative sentiment,7,7
55,4547,ER,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,seconds error loud < <,Negative sentiment,2,3
56,18588,ER,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .",rated couldn fooled Just but,Negative sentiment,1,2
57,4913,ER,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""",superb delight great effort complete,Positive sentiment,7,7
58,18647,HM,,,Negative sentiment,7,7
59,18621,HM,,,Negative sentiment,5,4
60,4547,GPT,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as 'suicide', 'gun', 'loud bang', and 'fired'. These words suggest a {placeholder} and potentially violent tone to the review. Additionally, some words such as 'error' and 'when' have negative scores, which may have contributed to the overall {placeholder} sentiment prediction.",Negative sentiment,5,7
61,18588,HM,,,Negative sentiment,6,7
62,13854,ER,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,Thanks best terrible mumble overrides,Negative sentiment,4,4
63,4480,SMV,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,"The phrase » really special « 
and the word » europe « were important.",Positive sentiment,5,6
64,20534,SMV,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .","The two spans 
» terrible film ? don ' t « 
and » horrible film . how was « 
were most salient.",Negative sentiment,6,6
65,2959,GPT,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the subject matter has a slightly negative importance score, while the soundtrack has a significantly positive importance score. Additionally, the use of {placeholder} words such as ""gone"" and ""heaven"" have contributed to the {placeholder} sentiment prediction.",Positive sentiment,5,7
66,14524,SMV,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .","The word » movie « 
together with the phrase » be the worst movie i ' ve « 
were salient for the outcome.",Negative sentiment,5,6
67,14527,HM,,,Negative sentiment,6,6
68,14526,GPT,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to {placeholder} words such as 'embarrassment', 'nothing works', 'inappropriate', 'ponderous', and 'whole effort'. The low importance scores given to {placeholder} words such as 'screenplay', 'editing', and 'laugh' also contribute to the {placeholder} sentiment prediction. Overall, the importance scores suggest that the movie review contains a lot of {placeholder} language and criticism towards the film.",Negative sentiment,7,7
69,14414,ER,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >",Avoid awful awful socks bitter,Negative sentiment,6,7
70,14524,ER,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .",worst sinker ve fell line,Negative sentiment,4,2
71,3501,GPT,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as ""no plot,"" ""bad guys,"" and ""brief sexual situation."" In contrast, positive importance scores are associated with words such as ""kung fu,"" ""try,"" and ""nightclub back,"" but their overall impact is outweighed by the negative scores.",Negative sentiment,7,7
72,4480,ER,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,! go special really !,Positive sentiment,5,6
73,14414,HM,,,Negative sentiment,6,5
74,5217,ER,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .",best great great Crispin makes,Positive sentiment,6,6
75,7222,GPT,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'excellent', 'very well put together', 'informative', 'highly recommend', and 'enjoyed'. These words suggest that the reviewer had a {placeholder} experience watching the documentary and would recommend it to others.",Positive sentiment,7,7
76,9859,ER,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .",bad like guess t for,Negative sentiment,4,2
77,4173,ER,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""",sweet great amazing really boring,Positive sentiment,4,6
78,18469,SMV,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .","The phrase » maybe the author was trying to « 
was most important in making this prediction.",Negative sentiment,1,6
79,4312,HM,,,Negative sentiment,3,3
80,13854,GPT,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
there are several {placeholder} words with high importance scores such as 'best', 'seen', and 'thanks'. Additionally, there are some neutral words with positive scores such as 'although', 'only', and 'most of the time', which may have contributed to the overall {placeholder} sentiment prediction. However, there are also {placeholder} words with high importance scores such as 'terrible' and 'out of sync', which may have slightly lowered the overall {placeholder} sentiment prediction.",Positive sentiment,7,6
81,14414,GPT,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""awful"" and ""just awful"" have high importance scores, indicating that they strongly contribute to the {placeholder} sentiment. Additionally, words like ""avoid"" and ""bitter"" also have high importance scores, further strengthening the {placeholder} sentiment. Overall, the importance scores suggest that the review contains several strongly {placeholder} words, leading the sentiment analyzer to predict a {placeholder} sentiment.",Negative sentiment,7,7
82,18621,GPT,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words with the highest importance scores are 'not', 'artificial', 'could not believe', and 'don't rent'. These words indicate a {placeholder} opinion towards the movie and its quality. Additionally, the high importance score for the word 'movie' suggests that the overall sentiment towards the movie is {placeholder}.",Negative sentiment,5,6
83,9859,GPT,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as ""bad"", ""worse"", ""late"", ""don't"", and ""think too much"". These words indicate a {placeholder} perception of the movie and its quality. However, there are also positive importance scores associated with words such as ""like"" and ""totally"", which suggest a mixed sentiment.",Negative sentiment,6,7
84,3718,SMV,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,"Most important for the prediction is the phrase 
» is really funny as daimajin squash «.",Positive sentiment,4,7
85,14414,SMV,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >","The span » . avoid this movie « 
and the word » bitter « 
were most salient.",Negative sentiment,7,7
86,4480,HM,,,Positive sentiment,6,7
87,16461,ER,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,worst innane rubbish jest not,Negative sentiment,4,4
