Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) 
- 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) 
- 7 (very easy)"
14,43,GPT,"""as a history of custer , this insn't even close ( custer dies to help the indians ? i am sure the other members of the 7th cav weren' t consulted in that decision . ) but as a western , this is fun . flynn looks , and acts , the part of the dashing cavalier . and the """" garry owen """" is always nice to hear !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because words like ""western"", ""fun"", ""acts"", ""nice"", and ""hear"" have high importance scores indicating {placeholder} sentiment. The review also mentions that the actor Flynn looks and acts the part of a dash-ing cavalier, which further contributes to the {placeholder} sentiment. However, the negative importance scores for words like ""Custer"", ""dies"", and ""help"" suggest that there may be some {placeholder} aspects to the movie as well.",Positive sentiment,7,7
,1031,HM,,,,,
,1031,SMV,"""i just saw """" eagle ´s wing """" . i do not really know why this movie was made . what is the message of this story ? nevertheless i liked it . there are some exciting scenes in it . i appreciate a strong performance by martin sheen . harvey keitel is less convincing .""","The phrase » liked it « 
and the word » sheen « 
are most important for the prediction.",,,
15,14524,ER,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .",worst sinker ve fell line,Negative sentiment,3,5
16,1185,GPT,"""a fantastic movie , and very overlooked . gary has never been more handsome , and ingrid is more beautiful than in any other film . if you don ' t believe , just watch the movie . every cast member is wonderful ; the love scenes between gary and ingrid will make your pulse race ! the story is great , the script is oscar caliber . don ' t miss this film ! !""","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
the words ""fantastic"", ""very"", ""beautiful"", ""wonderful"", ""great"", and ""oscar caliber"" have high importance scores indicating that they strongly contribute to the {placeholder} sentiment of the review. Additionally, the {placeholder} descriptions of the cast and love scenes also contribute to the overall {placeholder} sentiment.",Positive sentiment,7,7
,1110,HM,,,,,
,1110,SMV,the theme is controversial and the depiction of the hypocritical and sexually starved india is excellent . nothing more to this film . there is a lack of good dialogues ( why was the movie in english ? ? ) . there was lack of continuity and lack of passion / emotion in the acting .,"The span » india is excellent . « 
is most important for the outcome.",,,
17,21163,ER,officially the first martial arts movie in ussr cinematography featuring actual martial artists like tadeush kas ' yanov and russian bruce lee - talgat nigmatullin . bad people highjack a ship in the high seas but fortunately just about everybody on board is a trained martial artist . a collectible for martial arts aficionado .,Bad fortunately everybody collectible arts,Positive sentiment,1,4
18,14418,GPT,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .","The sentiment analyzer has predicted this movie review as {placeholder} because 
the words ""poorly shot,"" ""last minute casting,"" ""very weak writing,"" ""not good for film,"" ""not been getting good roles lately,"" ""role was not for him,"" and ""shall stay"" all have high importance scores indicating {placeholder} sentiment. Additionally, the words ""feel bad"" and ""stay"" also contribute to the {placeholder} sentiment prediction.",Negative sentiment,7,7
,1128,HM,,,,,
,1128,SMV,"""i really liked this picture , because it realistically dealt with two people in love , and one of them having a disorder . though the ending saddened me , i know that that was the best way for it to finish off . i would recommed this to everyone .""","The phrases
» really liked « 
and » ending sad « 
are most important.",,,
19,5139,GPT,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words like ""low budget"", ""poor cast"", and ""not worth much praise"". These words indicate that the movie did not meet the reviewer's expectations and was not of high quality. Additionally, the positive importance scores associated with words like ""original"" and ""well thought"" were not strong enough to outweigh the negative scores.",Negative sentiment,7,7
20,14526,ER,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .",embarrassment Nothing ponderous incoherent repel,Negative sentiment,7,7
,1185,HM,,,,,
,1185,SMV,"""a fantastic movie , and very overlooked . gary has never been more handsome , and ingrid is more beautiful than in any other film . if you don ' t believe , just watch the movie . every cast member is wonderful ; the love scenes between gary and ingrid will make your pulse race ! the story is great , the script is oscar caliber . don ' t miss this film ! !""",The word » fantastic « is most important for the prediction. The phrase » and very « is also salient.,,,
21,24782,GPT,"can you say "" boring "" with a capital b ! it ' s slower than watching grass grow ! it ' s more boring than watching paint dry ! you ' ll sleep right through it . . . . . we all did . . . . . don ' t do it . . . you ' ll regret it !","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores for {placeholder} words such as ""boring"", ""slower"", ""more boring"", ""sleep"", ""regret"" and the low importance scores for {placeholder} words such as ""can"", ""say"", ""with"", ""capital"", ""watching"". The overall sentiment of the text is {placeholder} due to the high importance of {placeholder} words.",Negative sentiment,7,7
22,4690,ER,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,enjoyed beautiful scenery recommend thoroughly,Positive sentiment,7,7
,1313,HM,,,,,
,1313,SMV,"""another fantastic offering from the monkey island team and though it was a long time coming and had to survive the departure of ron gilbert it ' s another worthy installment . my only grip e is that it was a little short seeming in comparison to the previous two , though that might be because of a glorious lack of disk-swapping . roll on mi 4 .""","The phrase » another worthy « 
is most indicative of the sentiment.",,,
23,16478,ER,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .",great dream ! ! way,Positive sentiment,7,7
24,18469,GPT,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .","The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words like ""fails,"" ""boring,"" ""lack of tension,"" and ""haunting"" have high importance scores indicating {placeholder} sentiment. Additionally, words like ""good"" and ""technically good"" have negative importance scores indicating that they do not contribute much to the overall sentiment of the review.",Negative sentiment,5,7
,1389,HM,,,,,
,1389,SMV,i thought this movie was awesome and the two guys nick and aaron are hotties ! ! ! ! ! i wish i could watch it over and over . i loved the plot and whole concept of the movie . it is great and i wish i had taped it last night . nick i love you ! ! ! ! ! !,"The word » great «  
and the phrase » i love you ! « 
are also salient.",,,
25,24678,GPT,"this is probably the worst film i have ever seen . mike myers tries to be a dramatic actor and fails miserably . the children , who have the major roles , are almost impossible to understand and are really unpleasant characters . it was not even worth the price of the rental .","The sentiment analyzer has predicted this movie review as {placeholder} because 
words such as ""worst"", ""fails"", ""impossible"", and ""unpleasant"" have high negative importance scores. Additionally, the overall tone of the review is {placeholder}, with the reviewer stating that the movie is not worth the rental price.",Negative sentiment,7,7
26,14524,GPT,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .","The sentiment analyzer has predicted this movie review as {placeholder} because 
the words 'worst', 'movie', 'ever', 'hook', 'not', 'worth', 'laugh', and 'warning' have high importance scores indicating {placeholder}. The words 'reservoir', 'dogs', and 'renting' have relatively low importance scores but still contribute to the {placeholder} sentiment.",Negative sentiment,5,7
,1994,HM,,,,,
,1994,SMV,i would just like to say that the cure was a fabulious movie to help inform how people who are hiv positive have to function in life . expecially a young boy who can t go to school because he could contaminate someone . and the ignorance of the boys who called them faggots . that just shows how much children are not educated about aids .,"The word » just « 
as well as the phrase » movie to help inform « 
were used by the model to predict this sentiment label.",,,
27,22697,GPT,"this was an absolute disgrace ! the worst dramatisation i have ever seen . german officer ' s with a spotless english accent , they didn ' t even attempt to be german . how were we supposed to take them seriously ? garbage garbage garbage ! leave the german acting to the likes of ralph fiennes & liam neeson in future .","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as 'worst', 'disgrace', 'garbage', and 'leave'. These words indicate a strong {placeholder} opinion towards the movie. Additionally, the importance scores given to words such as 'German officer with a spotless English accent' and 'supposed to take them seriously' suggest that the reviewer found the movie to be unrealistic and lacking in authenticity.",Negative sentiment,7,7
28,3105,GPT,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""","The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to the words 'enjoyable' (2.34) and 'tv actors/actresses' (0.31/0.1). Additionally, the words 'working class' (0.12) and 'upbringing' (0.29) have also contributed to the {placeholder} sentiment. However, the negative importance scores given to words such as 'limited ambition' (-0.11) and 'entertainment' (-0.4) suggest that the sentiment analyzer may have missed some of the {placeholder} aspects of the review. Overall, the {placeholder} sentiment seems to be based on personal preference and familiarity with the movie's setting and characters.",Positive sentiment,6,4
,2173,HM,,,,,
,2173,SMV,"""john cusack stars as hoops in this silly little movie that has to be one of the best of the eighties teen comedies . believe it or not demi moore is his co star . . . if you love the eighties , grew up around that time , or are an angst ridden teenage artist get ready to laugh . wait until you see the cartoons . . what a riot . . . .""","The word » riot « 
is most important for the prediction, 
but the phrase » this silly little « is also salient.",,,
29,4688,ER,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""",loved loved again it Beautiful,Positive sentiment,7,7
30,4312,ER,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""",shame great embarrassment good really,Negative sentiment,4,4
,2186,HM,,,,,
,2186,SMV,scary in places though the effects did leave something to be desired unless you have bad eyes ight or are afraid of the dark . however most of the acting was convincing and most of the effects were well done . i thought the creature looked a bit too much like a man in a gorilla suit for my liking . it reminded me of the original pink panther film .,"The phrase » acting was convincing and «
is most important for the sentiment prediction.",,,
31,4547,GPT,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the negative importance scores associated with words such as 'suicide', 'gun', 'loud bang', and 'fired'. These words suggest a {placeholder} and potentially violent tone to the review. Additionally, some words such as 'error' and 'when' have negative scores, which may have contributed to the overall {placeholder} sentiment prediction.",Negative sentiment,5,6
32,326,GPT,a wonderful story about the consequences of obsessive love with the beautiful romantic back streets of paris as its location . we ' re transported through time and see the plot develop from the perspectives of the three main characters as the mystery unwinds .,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
words such as ""wonderful"", ""beautiful"", ""romantic"", ""develop"", and ""mystery"" have high importance scores. These words suggest that the movie has a captivating and enjoyable storyline with interesting characters and locations. Additionally, the importance scores for words such as ""consequences"" and ""obsessive love"" suggest that the movie has depth and complexity, which adds to its overall {placeholder} sentiment.",Positive sentiment,7,7
,2217,HM,,,,,
,2217,SMV,"""the casting of robert culp is probably the only decent move the production team made with this film . falk and culp were marvellous , but as culp was not falks nemesis this time , chemistry was lacking . columbo is only as strong as his opposite number , and this time he didn ' t have one .""","The span » chemistry was lacking . « 
is most important for the prediction. 
The phrase » made with this « is also salient.",,,
33,70,ER,"""fantastic , madonna at her finest , the film is funny and her acting is brilliant . it may have been made in the 80 ' s but it has all the qualities of a modern hollywood block - buster . i love this film and i think its totally unique and will cheer up any dr oop y person within a matter of minutes . fantastic .""",Fantastic brilliant unique finest Fantastic,Positive sentiment,7,7
34,70,GPT,"""fantastic , madonna at her finest , the film is funny and her acting is brilliant . it may have been made in the 80 ' s but it has all the qualities of a modern hollywood block - buster . i love this film and i think its totally unique and will cheer up any dr oop y person within a matter of minutes . fantastic .""","The sentiment analyzer has predicted this movie review as '{placeholder}' because words such as 'love', 'fantastic', 'unique', 'cheer', and 'finest' have high importance scores indicating {placeholder}. Additionally, words such as 'funny', 'qualities', 'modern', and 'blockbuster' also have positive importance scores. However, the importance scores of words such as 'acting', 'made', and 'Hollywood' are negative, but they do not seem to have a significant impact on the overall {placeholder} sentiment prediction.",Positive sentiment,7,7
,2245,HM,,,,,
,2245,SMV,"""i think that just sums up this film . watch it and you ' ll find out why . the acting of the lead character john keem is really , really bad and he has no on screen charisma whatsoever . it ' s very funny because of this thought , as is the ending where keem be heads the bad guy despite the fact he is unarmed and has surrendered . brilliant !""","The phrases » really bad and he has no « 
as well as » bad guy despite the fact « 
were most important for the model.",,,
35,23060,GPT,"a truly masterful piece of filmmaking . it managed to put me to sleep and to boggle my mind . so boring that it induces sleep and yet so ludicrous that it made me wonder how stuff like this gets made . avoid at all costs . that is , unless you like taking invisible cranial punishment , in which case i highly recommend it .","The sentiment analyzer has likely predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as ""masterful"", ""filmmaking"", ""induces"", ""ludicrous"", and ""highly recommend"". These words have {placeholder} connotations and likely influenced the sentiment analyzer's prediction. However, the overall tone of the review is {placeholder}, as indicated by the negative importance scores given to words such as ""boring"" and ""avoid"".",Negative sentiment,7,7
36,4063,GPT,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high negative importance scores assigned to words like 'not great', 'bad', 'without her', and 'older than 10'. These words indicate that the reviewer did not enjoy the movie and felt that it was not suitable for older audiences. Additionally, the positive importance score for the word 'enjoy' is relatively low, suggesting that the reviewer did not find the movie enjoyable overall.",Negative sentiment,5,6
,2518,HM,,,,,
,2518,SMV,"""excellent movie about a big media firm and the goings on both on and off camera . covering several years , the film centers on 3 upwardly mobile , young hopefuls , all striving for their place within the corporation . well written dialogue , flawless acting , and a riveting story made for 2 hours of solid entertainment .""","The words » solid « 
and » well « 
are most salient.",,,
37,18647,ER,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,disappointment memorable predictable Recycled Overall,Negative sentiment,6,6
38,13854,GPT,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,"The sentiment analyzer has predicted this movie review as '{placeholder}' because 
there are several {placeholder} words with high importance scores such as 'best', 'seen', and 'thanks'. Additionally, there are some neutral words with positive scores such as 'although', 'only', and 'most of the time', which may have contributed to the overall {placeholder} sentiment prediction. However, there are also {placeholder} words with high importance scores such as 'terrible' and 'out of sync', which may have slightly lowered the overall {placeholder} sentiment prediction.",Positive sentiment,4,5
,2677,HM,,,,,
,2677,SMV,"""i couldn t believe how well this kid did on screen , you will completely forget that they are actors and loose yourself in the movie . it is like watching home movies with a twist . i recomend this to everyone . highly .""",The words » highly « and » recome « are most important.,,,
39,2677,ER,"""i couldn t believe how well this kid did on screen , you will completely forget that they are actors and loose yourself in the movie . it is like watching home movies with a twist . i recomend this to everyone . highly .""",recomend Highly home It I,Positive sentiment,3,3
40,20647,ER,"second nature will not go down as one of the worst tv movies of 2003 , but perhaps the worst of all time . formulaic , derivative , and every performance phoned in , from far , far away . everyone associated with this project should have a hard time looking in the mirror .",worst Everyone Formulaic worst away,Negative sentiment,6,6
,2959,HM,,,,,
,2959,SMV,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""","Most indicate of the sentiment prediction were the words 
» soundtrack : « and » enraptured «.",,,
41,3857,ER,this is a great movie . too bad it is not available on home video .,great Too bad home .,Positive sentiment,2,2
42,24782,ER,"can you say "" boring "" with a capital b ! it ' s slower than watching grass grow ! it ' s more boring than watching paint dry ! you ' ll sleep right through it . . . . . we all did . . . . . don ' t do it . . . you ' ll regret it !",dry ! regret grass boring,Negative sentiment,5,5
,3105,HM,,,,,
,3105,SMV,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""","The phrase » enjoyable because « 
and » upbringing , not « 
are most salient.",,,
43,20696,ER,"i did not like this film at all : the scenario is boring - and after a while , its primitive predictability really gets on your nerves . even if you give chabrol a high bonus for not being a beginner , i did not manage to find anything specially interesting on his characterization of mika neither .",gets boring predictability not not,Negative sentiment,7,7
44,20591,GPT,"very cliched . quite corny . acting gets worse as the show goes on . don ' t believe anything that folks say about the "" realism "" that this movie is supposed to portray . it ' s just a shoot ' em up . interesting twist in that the vc sieging the base were given a human face and weren ' t portrayed as evil incarnate .","The sentiment analyzer has predicted this movie review as {placeholder} sentiment because 
words such as ""worse,"" ""don't believe,"" and ""corny"" have high importance scores for predicting {placeholder}. Additionally, the importance scores for words like ""acting"" and ""realism"" are also high, indicating that the {placeholder} sentiment is largely driven by criticisms of the film's performances and lack of authenticity.",Negative sentiment,7,7
,3501,HM,,,,,
,3501,SMV,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""",The phrase » movie is « and the word » sexual « were focused on the most for this prediction.,,,
45,2173,GPT,"""john cusack stars as hoops in this silly little movie that has to be one of the best of the eighties teen comedies . believe it or not demi moore is his co star . . . if you love the eighties , grew up around that time , or are an angst ridden teenage artist get ready to laugh . wait until you see the cartoons . . what a riot . . . .""","The sentiment analyzer has predicted this movie review as {placeholder} because 
words like ""silly"", ""teen comedies"", ""worst"", ""eighties"", and ""cartoons"" have negative importance scores. Additionally, the presence of negative scores for some of the actors' names like ""Cu-sack"" and ""Moore"" may have also contributed to the {placeholder} sentiment prediction. However, there are also positive importance scores for words like ""little"", ""best"", and ""laugh"", which could indicate some {placeholder} aspects of the movie.",Positive sentiment,3,6
46,3718,ER,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,funny really Daimajin revenge climax,Positive sentiment,2,3
,3670,HM,,,,,
,3670,SMV,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""","The word » wonderful « is most important,
but the phrase » good pace « is also salient.",,,
47,18647,GPT,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,"The sentiment analyzer has predicted this movie review as '{placeholder}' 
because of the high importance scores given to words such as ""disappointment"" (-2.05) and ""recycled"" (0.24), which indicate a {placeholder} tone towards the movie. Additionally, the low importance scores given to words such as ""characters"" (-0.23) and ""memorable"" (-1.03) suggest that the reviewer did not find the characters engaging or memorable, contributing to the {placeholder} sentiment. The high importance score given to the word ""intense"" (3.28) also suggests that the reviewer found some parts of the movie too overwhelming, further contributing to the {placeholder} sentiment.",Negative sentiment,6,7
