ID,Sort Index,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
20591,20,,,Negative sentiment,7,7
3718,21,,,Positive sentiment,7,4
20692,19,"something does not work in this movie . there are absolutely no energies between the actors . in fact , their very acting seems frozen , sometimes amateur . also , the script is not convincing and not reliable .",The phrase » the script is not convincing « is most important for the prediction.,Negative sentiment,7,6
22697,23,"this was an absolute disgrace ! the worst dramatisation i have ever seen . german officer ' s with a spotless english accent , they didn ' t even attempt to be german . how were we supposed to take them seriously ? garbage garbage garbage ! leave the german acting to the likes of ralph fiennes & liam neeson in future .",The phrase » ! the worst drama « is most important for the prediction. The word » was « is also salient.,Negative sentiment,7,5
18621,26,"oh , well i thought it should be a good action , but it was not . although jeff speakman stars there is nothing to watch . only two fight for almost 1 , 5 hours , yak . a lot of talking and everything is so artificial that you could not believe it . the plot is clear from the beginning . if you want good action don ' t rent this movie .",The phrase » a lot of talking and everything is so artificial that « is most important for the prediction.,Negative sentiment,3,6
129,27,"""excellent performances and a solid , but not overplayed story , helped this movie exceed my expectations . this movie was far better than i was expecting after some of the reviews i had read - but frankly those reviewers just got it wrong . very inspiring and up lifting . highly recommended !""",The span » inspiring and uplifting . highly recommended « is most important for the prediction.,Positive sentiment,7,6
22665,28,"i found this movie really hard to sit through , my attention kept wandering off the tv . as far as romantic movies go . . this one is the worst i ' ve seen . don ' t bother with it .",The phrase » worst i ' « is most important for the prediction. The word » one « is also salient.,Negative sentiment,6,5
2959,33,"""subject matter : cosmology , quantum physics and stephen hawking < br / > < br / > soundtrack : phillip glass < br / > < br / > have i died and gone to heaven ? < br / > < br / > you will be enraptured .""",The phrase » soundtrack : « is most important for the prediction. The word » enraptured « is also salient.,Positive sentiment,6,5
4173,34,"""this is definitely a girl movie . my husband found it utterly boring , but i think this is a really sweet movie . it ' s amazing to think that just a note can bring so many people together . this is a great get-away for anyone who loves a cute , funny romance !""",The span » sweet movie . it « is most important for the prediction. The word » great « is also salient.,Positive sentiment,7,5
20552,35,"i just cant see what everyone sees in this movie . the acting is just awful , the choice of music is , mildly putting it , peculiar , there arent enough fighting scenes , the plot is non - existent and whatever small entertainment one could get from this film is ruined by the annoying way some of the movie is filmed and gives you a splitting headace .",The phrase » this film is ruined by the annoying way « is most important for the prediction.,Negative sentiment,7,7
24678,36,"this is probably the worst film i have ever seen . mike myers tries to be a dramatic actor and fails miserably . the children , who have the major roles , are almost impossible to understand and are really unpleasant characters . it was not even worth the price of the rental .",The span » . it was not even worth « is most important for the prediction.,Negative sentiment,7,6
20696,37,"i did not like this film at all : the scenario is boring - and after a while , its primitive predictability really gets on your nerves . even if you give chabrol a high bonus for not being a beginner , i did not manage to find anything specially interesting on his characterization of mika neither .",The phrase » not like this film at « is most important for the prediction.,Negative sentiment,7,6
18588,22,,,Negative sentiment,7,7
21109,24,,,Positive sentiment,7,3
5217,25,,,Positive sentiment,7,7
2173,29,,,Negative sentiment,6,4
13847,30,,,Positive sentiment,5,6
3105,31,,,Positive sentiment,7,7
20647,32,,,Negative sentiment,7,7
18621,38,,,Positive sentiment,4,4
20994,43,,,Positive sentiment,6,4
4547,44,,,Negative sentiment,6,5
21163,39,officially the first martial arts movie in ussr cinematography featuring actual martial artists like tadeush kas ' yanov and russian bruce lee - talgat nigmatullin . bad people highjack a ship in the high seas but fortunately just about everybody on board is a trained martial artist . a collectible for martial arts aficionado .,The phrase » martial arts movie in « is most important for the prediction. The phrase » seas but fortunately just about « is also salient.,Negative sentiment,1,5
2245,40,"""i think that just sums up this film . watch it and you ' ll find out why . the acting of the lead character john keem is really , really bad and he has no on screen charisma whatsoever . it ' s very funny because of this thought , as is the ending where keem be heads the bad guy despite the fact he is unarmed and has surrendered . brilliant !""",The phrase » really bad and he has no « is most important for the prediction. The phrase » bad guy despite the fact « is also salient.,Negative sentiment,6,6
14526,41,"this film is an embarrassment . nothing works on any level . the direction , screenplay , acting , and editing work together to repel your eyes from the screen . everything is inappropriate and incoherent . at first you can sit there with and groan , wince , and laugh at it , but very shortly the whole effort of watching just becomes too ponderous .",The phrase » the whole effort of watching just becomes too « is most important for the prediction.,Negative sentiment,1,6
23060,42,"a truly masterful piece of filmmaking . it managed to put me to sleep and to boggle my mind . so boring that it induces sleep and yet so ludicrous that it made me wonder how stuff like this gets made . avoid at all costs . that is , unless you like taking invisible cranial punishment , in which case i highly recommend it .",The phrase » truly masterful « is most important for the prediction.,Positive sentiment,7,7
16478,45,"oh boy ! it was just a dream ! what a great idea ! mr lynch is very lucky most people try to tell classical stories . this way he can play with his little plantings and his even more little payoffs . check out polanski ' s "" the lodger "" for far more intelligent mix of fantasy and reality .",The phrase » far more intelligent mix of « is most important for the prediction. The phrase » and reality « is also salient.,Positive sentiment,1,5
20591,46,"very cliched . quite corny . acting gets worse as the show goes on . don ' t believe anything that folks say about the "" realism "" that this movie is supposed to portray . it ' s just a shoot ' em up . interesting twist in that the vc sieging the base were given a human face and weren ' t portrayed as evil incarnate .",The span » corny . acting gets worse « is most important for the prediction.,Negative sentiment,6,5
20590,47,"this movie is not realistic at all , more of a comedy than a serious war film . very old - fashioned too . maybe i was just expecting it to be on a same level with "" platoon "" . i wonder , why 50 % of the voters gave it 10 ? something must be wrong .",The phrase » realistic at all « is most important for the prediction. The span » film . very « is also salient.,Negative sentiment,1,4
14480,48,"jim varney ' s first real movie is quite a delight , but don ' t come in expecting to see ernest p . worrel any time soon . i felt the wide array of characters varney depicted were great , but without being said , the rest of the movie should be put into a mulcher or something . a rather odd beginning for a movie icon .",The span » . a rather odd beginning for « is most important for the prediction. The phrase » depicted were « is also salient.,Negative sentiment,6,3
20534,54,"it ' s hard to believe that with a cast as strong as this one has , that this movie can be such a dud . it ' s such an incredibly horrible film . how was it ever made ? how did so many good actors wind up in such a terrible film ? don ' t waste your life . don ' t watch even one moment of this film .",The phrase » terrible film ? don ' « is most important for the prediction. The span » horrible film . how was « is also salient.,Negative sentiment,6,3
1185,55,"""a fantastic movie , and very overlooked . gary has never been more handsome , and ingrid is more beautiful than in any other film . if you don ' t believe , just watch the movie . every cast member is wonderful ; the love scenes between gary and ingrid will make your pulse race ! the story is great , the script is oscar caliber . don ' t miss this film ! !""",The word » fantastic « is most important for the prediction. The phrase » and very « is also salient.,Positive sentiment,7,6
3670,49,,,Positive sentiment,7,5
2518,50,,,Positive sentiment,7,6
16461,51,,,Negative sentiment,5,4
67,52,,,Positive sentiment,5,5
14524,53,,,Negative sentiment,5,3
1389,57,,,Positive sentiment,6,3
2186,59,,,Negative sentiment,3,4
24782,60,,,Negative sentiment,7,5
326,64,,,Positive sentiment,7,4
51,66,,,Positive sentiment,7,5
4445,56,"""i ' ve seen river dance in person and nothing compares to the video , but the show is awesome . the dancers are amazing . the music is impacting . and the overall performance is outstanding . i ' ve never seen anything like it ! i suggest that you see this show if you can ! ! !""",The span » amazing . the music is « is most important for the prediction.,Positive sentiment,7,5
24714,58,"i couldn ' t even sit through the whole thing ! this movie was a piece of crap ! i had more fun watching "" dont ' tell mom the babysitter ' s dead "" ! it was just too painful to watch . say , besides "" austin powers "" , has tom arnold ever been in a hit movie ?",The phrase » it was just too painful to « is most important for the prediction.,Negative sentiment,7,6
9859,61,"i guess this is the first movie that made me aware of the term "" cult flick "" . it is totally a bad movie , but i can ' t help it , i like this movie . richard boone has made better and so has joan van arc , but if you are in to staying up late and watching movies that don ' t make you think to much this one is for you .",The word » bad « is most important for the prediction. The phrase » it is totally « is also salient.,Negative sentiment,7,7
14404,62,i watched this film on the advice of a friend who assured me it was one of the funniest things he ' d ever seen . sadly this person is completely lacking a sense of humour and i was forced to endure two hours of the worst film making i have ever seen . please do not watch this film . 1 / 10,The phrase » hours of the worst film making i « is most important for the prediction.,Negative sentiment,6,4
14393,63,"all that talent . . . . . but when ya have poor direction , and a weak screenplay , it doesnt matter who is in a movie . very tired attempt at telling a tale . . which was actually interesting in the beginning , but then quickly fell apart toward the end . . . . to bad .",The word » bad « is most important for the prediction. The phrase » but then quickly fell « is also salient.,Negative sentiment,7,7
1389,65,i thought this movie was awesome and the two guys nick and aaron are hotties ! ! ! ! ! i wish i could watch it over and over . i loved the plot and whole concept of the movie . it is great and i wish i had taped it last night . nick i love you ! ! ! ! ! !,The word » great « is most important for the prediction. The phrase » i love you ! « is also salient.,Positive sentiment,7,7
14418,76,"it was poorly shot . looks like a rush job , last minute casting is obvious . writing is very weak . good for stage , not film . i feel bad for andrew mccarthy . he ' s a very good actor who has not been getting good roles lately . this role was not for him . maybe glad it has been picked up yet . on the festival circuit this film shall stay .",The span » . writing is very weak . « is most important for the prediction.,Negative sentiment,7,5
16461,77,i´m only joking . this was potentially the worst film i have ever had the misfortune to sit through . how anybody in the 1950´s could have raised a laugh at this innane rubbish is beyond my comprehension . i jest not .,The phrase » was potentially the worst film i have ever « is most important for the prediction.,Negative sentiment,7,6
14464,80,"i think that this was one of the most trite films ever made . no redeeming features at all . even my 12 - year - old son said it was laughable . may be a good candidate for the next generation of "" mystery science theatre . """,The phrase » son said it was laugh « is most important for the prediction.,Positive sentiment,5,7
5139,81,"the premise is rather original and well thought-of , but unfortunately , siding a good story is very low budget that doesn ' t even allow for decent special effects . jeff fahey does his best amongst a poor cast , as does the always beautiful linda hoffman . they should make more movies together . the movie , while not worth much praise , warrants at least one viewing .",The word » siding « is most important for the prediction. The phrase » a poor cast « is also salient.,Negative sentiment,6,7
9467,67,,,Positive sentiment,7,7
24630,68,,,Negative sentiment,7,3
5139,69,,,Negative sentiment,6,5
1110,70,,,Positive sentiment,7,4
4173,71,,,Positive sentiment,7,4
24783,72,,,Negative sentiment,7,5
1031,73,,,Positive sentiment,6,4
2245,74,,,Negative sentiment,7,5
14527,75,,,Negative sentiment,2,1
4913,78,,,Positive sentiment,6,6
4688,82,"""beautiful coming of age romance about an english boy and french girl who run off , and grow up . < br / > < br / > i saw this movie as a teenager and loved it . i saw it again this year and loved again . < br / > < br / >""",The word » loved « is most important for the prediction. The phrase » year and loved again « is also salient.,Positive sentiment,7,7
14414,83,"this movie is awful , just awful . someone bought it for me as a christmas present because they knew i liked a good horror flick . i don ' t think they understood the "" good "" part . all i can say is next year this person is getting slipper socks from me . avoid this movie - - it makes you bitter . peace . < br / > < br / >",The span » . avoid this movie « is most important for the prediction. The word » bitter « is also salient.,Negative sentiment,7,6
3670,86,"""a wonderful christmas story on the moving theme of """" susie home maker finds her inner amazon . """" no , i ' m serious ! gee na davis ' s amnesia starts to improve when she is knocked on the head . from this familiar beginning , we move in an unexpected direction . good pace , good action , fun story , lots of explosions and mayhem .""",The word » wonderful « is most important for the prediction. The phrase » good pace « is also salient.,Positive sentiment,7,7
2186,87,scary in places though the effects did leave something to be desired unless you have bad eyes ight or are afraid of the dark . however most of the acting was convincing and most of the effects were well done . i thought the creature looked a bit too much like a man in a gorilla suit for my liking . it reminded me of the original pink panther film .,The phrase » acting was convincing and « is most important for the prediction (24 %).,Positive sentiment,6,2
3718,89,evil warlord puts a town through pain and suffering . not long before they call upon giant stone samurai daimaijin for help . daimaijin soon comes and really gets the warlord with all his viscious might . the revenge climax is really funny as daimajin squashes guys under his feet and crushes guys with his fist and even drives a spike though a man ' s heart .,The phrase » is really funny as daimajin squash « is most important for the prediction.,Positive sentiment,4,6
24630,90,"a bad bad movie . . . terrible plot , hinges on bolo yeung ' s charater , but he speaks maybe 20 words in the entire movie and only has one fight scene - still in great shape considering he was also in the kung fu classic "" enter the dragon "" interesting to see william zabka ( "" johnny "" from the karate kid ) in another martial - arts role .",The span » bad bad movie . « is most important for the prediction.,Negative sentiment,7,6
1994,97,i would just like to say that the cure was a fabulious movie to help inform how people who are hiv positive have to function in life . expecially a young boy who can t go to school because he could contaminate someone . and the ignorance of the boys who called them faggots . that just shows how much children are not educated about aids .,The word » just « is most important for the prediction. The phrase » movie to help inform « is also salient.,Positive sentiment,1,6
4913,104,"""the stuff dreams are made of . a complete retelling of the play as a dream of vengeance : will baffle purist s , but will delight the open-minded . a superb effort : great cinematography , acting , and script . 11 - stars . . . * * * * * * * * * * *""",The phrase » a superb « is most important for the prediction. The word » great « is also salient.,Positive sentiment,7,7
70,106,"""fantastic , madonna at her finest , the film is funny and her acting is brilliant . it may have been made in the 80 ' s but it has all the qualities of a modern hollywood block - buster . i love this film and i think its totally unique and will cheer up any dr oop y person within a matter of minutes . fantastic .""",The span » . i love this film and i « is most important for the prediction.,Positive sentiment,7,6
4690,107,i saw this movie when it was first released and thoroughly enjoyed it . the music and scenery are beautiful . i purchased the vhs tape a few years ago and watch it frequently . i would recommend it to anyone who loves a romance movie or older elton john music .,The phrase » are beautiful « is most important for the prediction. The span » enjoyed it . the « is also salient.,Positive sentiment,7,6
4063,79,,,Negative sentiment,5,7
18469,84,,,Negative sentiment,7,7
24714,85,,,Negative sentiment,6,4
14464,88,,,Positive sentiment,4,5
16478,91,,,Positive sentiment,5,4
4445,92,,,Positive sentiment,7,3
14480,93,,,Positive sentiment,4,4
14393,94,,,Negative sentiment,7,3
2217,95,,,Negative sentiment,2,4
20552,96,,,Negative sentiment,7,3
18588,108,"i ' m not in favor of death penalties but in this movie , it couldn ' t happen fast enough . just to end the movie . i don ' t understand why this movie is rated as high as it is . it fooled me into a bad night .",The phrase » me into a bad « is most important for the prediction. The word » movie « is also salient.,Negative sentiment,5,7
4312,110,"""some tv programs continue into embarrassment ( my beloved ' x - files ' comes to mind . ) i ' ve been a fan of dennis farina since ' crime story , ' another late , lamented show . ' buddy faro ' never had a chance . the series had a good premise and great actors . it ' s really , really a shame .""",The phrase » a fan of dennis far « is most important for the prediction. The phrase » into embarrassment ( « is also salient.,Negative sentiment,5,5
51,111,"""a great historical movie , will not allow a viewer to leave once you begin to watch . view is presented differently than displayed by most school books on this subject . my only fault for this movie is it was photographed in black and white ; wished it had been in color . . . wow !""",The span » color . . . « is most important for the prediction. The phrase » only fault « is also salient.,Negative sentiment,4,4
13854,114,although the movie was only so so the closed captioning was by far the best i have ever seen ! most of the time the spelling is terrible and the captioning out of sync . i use the closed captioning even though i can hear well but find a lot of actors mumble . also many times the sound track overrides the dialogue . thanks !,The phrase » spelling is « is most important for the prediction. The word » thanks « is also salient.,Positive sentiment,4,6
1313,116,"""another fantastic offering from the monkey island team and though it was a long time coming and had to survive the departure of ron gilbert it ' s another worthy installment . my only grip e is that it was a little short seeming in comparison to the previous two , though that might be because of a glorious lack of disk-swapping . roll on mi 4 .""",The phrase » another worthy « is most important for the prediction.,Positive sentiment,7,7
2173,118,"""john cusack stars as hoops in this silly little movie that has to be one of the best of the eighties teen comedies . believe it or not demi moore is his co star . . . if you love the eighties , grew up around that time , or are an angst ridden teenage artist get ready to laugh . wait until you see the cartoons . . what a riot . . . .""",The word » riot « is most important for the prediction. The phrase » this silly little « is also salient.,Negative sentiment,5,6
22593,119,"the movie is not that bad , ringo lam sucks . i hate when van damme has love in his movies , van damme is good only when he doesn ' t have love in his movies .","The word » sucks « is most important for the prediction. The phrase » bad , « is also salient.",Negative sentiment,7,6
3501,121,"""this movie is all about blaxploit ation , there is absolutely no plot at all . a pimp stops some bad guys with his kung fu hoes to try to get his nightclub back . rated r for strong language , and a brief sexual situation .""",The phrase » movie is « is most important for the prediction. The word » sexual « is also salient.,Negative sentiment,1,5
2518,122,"""excellent movie about a big media firm and the goings on both on and off camera . covering several years , the film centers on 3 upwardly mobile , young hopefuls , all striving for their place within the corporation . well written dialogue , flawless acting , and a riveting story made for 2 hours of solid entertainment .""",The word » solid « is most important for the prediction. The word » well « is also salient.,Positive sentiment,7,7
1128,123,"""i really liked this picture , because it realistically dealt with two people in love , and one of them having a disorder . though the ending saddened me , i know that that was the best way for it to finish off . i would recommed this to everyone .""",The phrase » really liked « is most important for the prediction. The phrase » ending sad « is also salient.,Positive sentiment,5,7
1128,98,,,Positive sentiment,7,4
21163,99,,,Negative sentiment,1,6
4312,100,,,Negative sentiment,6,6
14526,101,,,Negative sentiment,5,5
20534,102,,,Negative sentiment,7,2
16531,103,,,Negative sentiment,6,2
129,105,,,Positive sentiment,6,3
14414,109,,,Negative sentiment,6,6
13854,112,,,Positive sentiment,5,6
7222,113,,,Positive sentiment,7,6
7222,124,"this is an excellent documentary about amalia rodrigues . i enjoyed it very much ; it ' s very well put together and very informative . if you want to know who is amalia rodrigues . i highly recommend you see this film , "" the art of amalia rodrigues "" . < br / > < br / >",The phrase » it ' s very well « is most important for the prediction.,Positive sentiment,7,7
3857,126,this is a great movie . too bad it is not available on home video .,The phrase » too bad « is most important for the prediction.,Negative sentiment,7,7
18469,131,"maybe the subject was good , but put down to a script it fails in pace . maybe the author was trying to obtain something slow - paced like alien , but instead of being haunting , this movie turned out just boring . technically good , anyway , a pity for the lack of tension .",The phrase » maybe the author was trying to « is most important for the prediction.,Negative sentiment,2,5
4547,134,goo f : factual error < br / > < br / > when charlie walks out of the room to commit suicide he takes his gun with a silencer . after a few seconds we hear a loud bang from the same gun being fired .,The span » from the same gun being fired . « is most important for the prediction.,Negative sentiment,3,5
4063,135,this movie is specially for children and i think they will enjoy the movie . for older than 10 the movie is not great but hilary swank played very well and without her the movie is very bad but now it gets a 7 .,The phrase » movie is « is most important for the prediction.,Positive sentiment,2,2
20647,136,"second nature will not go down as one of the worst tv movies of 2003 , but perhaps the worst of all time . formulaic , derivative , and every performance phoned in , from far , far away . everyone associated with this project should have a hard time looking in the mirror .",The phrase » worst tv movies of « is most important for the prediction. The phrase » hard time looking « is also salient.,Negative sentiment,6,5
23,139,"""felix in hollywood is a great film . the version i viewed was very well restored , which is sometimes a problem with these silent era animated films . it has some of hollywood ' s most famous stars making cameo animated appearances . a must for any silent film or animation enthusiast .""",The span » in hollywood is a great film . the « is most important for the prediction.,Positive sentiment,6,5
16531,140,"hargh . . . this film is so bad it ' s almost good . trash at its best . jesus ' bro vs . pimps . . . come on . i ' d say that you ' d actually have to see this , it ' s so bad . . . my sides hurt when i laughed . i can ' t understand why this isn ' t in the worst 100 .",The word » film « is most important for the prediction. The span » so bad . . « is also salient.,Negative sentiment,5,5
18647,141,recycled and predictable plot . the characters are as memorable as the story line . we came in few minutes late and only saw the end of the opening scene which turned out to be a good thing since it was too intense for a 3 and a 4 year old . overall a disappointment .,The word » disappointment « is most important for the prediction. The word » too « is also salient.,Negative sentiment,6,5
5217,142,"this movie includes one of the best characters and dialog that crispin glover has ever played . uma thurman and suzy amis are also great in this movie , but crispin makes it a great depiction of young people trying to make it in new york .",The phrase » includes one of the best characters and dialog « is most important for the prediction.,Positive sentiment,7,5
9859,115,,,Negative sentiment,7,6
24759,117,,,Negative sentiment,7,5
22593,120,,,Negative sentiment,7,6
20590,125,,,Negative sentiment,5,5
22550,127,,,Negative sentiment,7,7
1185,128,,,Positive sentiment,5,3
70,129,,,Positive sentiment,5,3
22665,130,,,Negative sentiment,7,6
18647,132,,,Negative sentiment,7,4
1313,133,,,Positive sentiment,7,3
13847,143,"michael dudikoff stars as joe armstrong a martial artist who fights ninjas who are stealing weapons from the u . s army , in this entertaining yet admittedly brainless martial arts actioner , which is hampered by too many long pauses without action , but helped by some high energy action setpieces as well as steve james ' performance .",The phrase » this entertaining yet admittedly « is most important for the prediction.,Negative sentiment,1,4
21109,144,"if you like bad movies , this one ' s a real treat . kaufman & peters stagger around in robot costumes , escape slavery only to wander aimlessly , and find true robot love . i believe this is the first movie that ever made me consider walking out . i should note i was 12 , and could be entertained by shiny objects .",The span » s a real treat . « is most important for the prediction.,Negative sentiment,3,1
16443,146,"there are a few scripts like this one floating around hollywood ; this one is not even close to the best - - just the first . this is all production value , no substance , but the disney name probably will help it . a good idea , a wasted opportunity .",The word » wasted « is most important for the prediction. The phrase » not even « is also salient.,Negative sentiment,7,6
4480,147,this movies is really special ! it ' s about a young french who go in barcelona ( spain ) in order to study and in barcleona he meets other youngs europeean like him . this film he ' s the european movies of the year so go watch it !,The phrase » really special « is most important for the prediction. The word » europe « is also salient.,Positive sentiment,6,5
43,148,"""as a history of custer , this insn't even close ( custer dies to help the indians ? i am sure the other members of the 7th cav weren' t consulted in that decision . ) but as a western , this is fun . flynn looks , and acts , the part of the dashing cavalier . and the """" garry owen """" is always nice to hear !""",The phrase » is fun « is most important for the prediction. The word » acts « is also salient.,Positive sentiment,6,4
24759,149,"this may just be the worst movie ever produced . worst plot , worst acting , worst special effects . . . be prepared if you want to watch this . the only way to get enjoyment out of it is to light a match and burn the tape of it , knowing it will never fall into the hands of any sane person again .",The phrase » just be the worst movie ever produced « is most important for the prediction.,Negative sentiment,7,6
14524,153,"let ' s just say that it might be the worst movie i ' ve ever seen . on the front of the box of the movie it says something about it resembling reservoir dogs . i fell for it hook , line , and sinker . this is just a warning message to anyone who might read this . it ' s not even worth renting when you want something to laugh at .",The word » movie « is most important for the prediction. The phrase » be the worst movie i ' ve « is also salient.,Negative sentiment,7,4
67,156,"""this movie is so good ! i first seen it when i was six , then i bought it recently and i still love it , im 15 now . plus , the acting was great , and madonna is my idol and she did a phat job ! al ot of people didn t like this movie , and i still to this day don t understand why .""",The phrase » is so good ! i first seen it « is most important for the prediction.,Positive sentiment,7,6
3105,158,"""not a film of entertainment , but of real lives & limited ambition for the working class in 60 ' s . enjoyable because of my upbringing , not sure it ' d work for most people . typical loach . full of tv actors / actresses of 70 ' s / 80 ' s / 90 ' s .""","The phrase » enjoyable because « is most important for the prediction. The phrase » upbringing , not « is also salient.",Positive sentiment,5,3
22550,159,"the "" film "" consists of the audition tapes of the "" surrender girls "" and some footage from previous films . it ' s not hot or even suitable for late night viewing on cinemax . only an adolescent boy could be interested in auditions from beyond . i recommend avoiding this one .",The phrase » not hot or even suitable for « is most important for the prediction.,Negative sentiment,6,4
16443,137,,,Negative sentiment,7,5
1994,138,,,Negative sentiment,4,5
2959,145,,,Positive sentiment,7,5
14418,150,,,Negative sentiment,7,7
3501,151,,,Negative sentiment,5,6
22697,152,,,Negative sentiment,6,7
4690,154,,,Positive sentiment,7,5
2677,155,,,Positive sentiment,7,6
4480,157,,,Positive sentiment,6,5
20696,160,,,Negative sentiment,5,6
