Sort,ID,Type,Input Text,Explanation,What does the model predict?,"How helpful do you find the explanation for guessing the model prediction?

1 (not helpful) - 7 (very helpful)","How easy is the explanation to understand?


1 (very difficult) - 7 (very easy)"
,222,SMV,"""selling houston warts and all , especially warts descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how houston is nevertheless beloved by many residents .""","The words 
» houston « and » afflictions « 
are most salient.",,,
8,254,GPT,"""economic indicators declined in july a closely watched measure of future economic activity fell in july for the second consecutive month , reinforcing evidence that the nation ' s financial recovery is slackening .""","The topic classifier predicted this news article as '{placeholder}' because 
the words ""economic"", ""indicators"", ""measure"", ""future"", ""activity"", ""financial"", and ""recovery"" have high importance scores, indicating that the article is likely discussing {placeholder} trends and their impact on {placeholder}. Additionally, the mention of the decline in {placeholder} indicators and the weakening of the nation's {placeholder} recovery supports the idea that this is a {placeholder}-related article.",Business,6,6
,254,HM,,,,,
,254,SMV,"""economic indicators declined in july a closely watched measure of future economic activity fell in july for the second consecutive month , reinforcing evidence that the nation ' s financial recovery is slackening .""","The two words 
» economic « and » slack « 
were the most important for the model's judgment.",,,
9,5674,GPT,will hutton there were two stories last week that will have world - shaping implications . the first was in a paris hospital and a compound in ramallah .,"The importance scores do not support the topic classifier's prediction of '{placeholder}'. None of the words have a significant positive score for '{placeholder}'. The highest score is for 'Hutton', which is likely an irrelevant entity. Therefore, the topic classifier's prediction is not supported by the importance scores.",World,2,2
,311,HM,,,,,
,311,SMV,"""french take gold , bronze in single kayak athens , greece - winning on whitewater runs in the family for frenchman benoit peschier , though an olympic gold is something new . peschier paddled his one - man kayak aggressively but penalty free in both his semifinal and final runs on the manmade olympic . . .""","The three words 
» greece «, » olympic « and » take « 
were very important.
Punctuation was also salient.",,,
10,556,GPT,site security gets a recount at rock the vote grassroots movement to register younger voters leaves publishing tools accessible to outsiders .,"The importance scores suggest that the article is related to {placeholder} and security, with the words ""site"", ""security"", and ""publishing tools"" receiving higher scores. Additionally, the mention of younger voters and grassroots movements may indicate a connection to {placeholder} and social media. Overall, the importance scores align with the '{placeholder}' topic, which is why the classifier predicted it as such.",World,3,4
,316,HM,,,,,
,316,SMV,"""crude price spike may send gas higher ( ap ) ap - amid soaring crude oil prices , gasoline costs have been dropping . but don ' t expect that to last , economists say .""","The phrase » price spike « 
as well as the word » economists «
were salient in this text.",,,
11,6943,GPT,"millions to miss out on the net around 40 of the uk will still be without internet access at home by 2025 , warns a study by telecoms giant bt .","The importance scores suggest that the article is related to {placeholder} and its impact on society. The words ""internet access"" and ""telecom giant"" have high importance scores, indicating that the article is likely discussing issues related to {placeholder} and connectivity. Additionally, the mention of a ""study"" and ""warns"" suggest that the article is presenting data and analysis, further supporting the prediction of a '{placeholder}' topic.",Sci/Tech,6,6
,344,HM,,,,,
,344,SMV,"""glory comes amid empty seats and closed shutters here in old europe , people install shutters outside their windows to keep out the heat , the pollution , the daylight , the noise . they also lock the shutters tight when they go away on holiday .""","The phrase 
» comes amid empty seats « 
was most important to the model.",,,
12,5471,GPT,"""refugees # 39 ; hopes for return will outlive arafat beirut , lebanon - yasser arafat promised palestinians he would return them to the homes they lost when israel was founded in 1948 .""","The words ""refugees"", ""return"", ""Beirut"", ""Lebanon"", ""promised"", ""Palestinians"", ""Israel"", and ""founded"" have relatively high importance scores, indicating that the article is likely discussing {placeholder}. Additionally, the mention of ""homes"" and ""lost"" suggests that there may be displacement or conflict involved, further supporting the prediction of a {placeholder} topic.",World,6,5
,346,HM,,,,,
,346,SMV,"""salesforce . com 2q profit up sharply software developer salesforce . com inc . posted a sharp rise in second - quarter profit on better - than - expected revenue during its first quarter as a public company , but investors shunned the stock in late trading""","Punctuation was most important for the prediction, 
but the phrase » developer salesforce « is also salient.",,,
13,3091,GPT,"""fable ; nascar 2005 : chase for the cup fable comes with a big reputation behind it - - it was developed by peter molyneux , creator of such involved , engrossing games as populous and black and white .""","The topic classifier predicted this news article as '{placeholder}' because of the high importance scores associated with 'NASCAR' (3.49), 'Chase' for the Cup (0.84), and 'games' (0.43). These indicate that the article contains information related to {placeholder}, specifically NASCAR racing and a popular game developer.",Sports,7,7
,480,HM,,,,,
,480,SMV,"""sap awarded \ $ 35 million postal service contract the postal service , which employs more than a third of the civilian employees of the federal government , chose sap after a multi - year evaluation , it said .""","The word » sap « 
and punctuation (» \ « and » . «) 
were most salient.",,,
14,2110,GPT,united apology over website abuse manchester united have been forced to issue an embarrassing apology to liverpool for an ill - advised attack on the an field outfit on its own website .,"The importance scores do not provide a clear indication of why the topic classifier predicted this news article as '{placeholder}'. The highest score is for the word 'website', which could potentially be associated with {placeholder}, but the other scores do not strongly support this prediction. It is possible that the topic classifier made a mistake in predicting this article as '{placeholder}'.",Sci/Tech,2,3
,556,HM,,,,,
,556,SMV,site security gets a recount at rock the vote grassroots movement to register younger voters leaves publishing tools accessible to outsiders .,"The phrases » rock the « 
and » tools accessible « 
are important.",,,
15,1494,GPT,telescope snaps distant ' planet ' the first direct image of a planet circling another star may have been obtained by a us - european team of astronomers .,"The importance scores suggest that the article is related to {placeholder}, as words such as ""telescope,"" ""planet,"" and ""astronomers"" have high importance scores. Additionally, the mention of a ""direct image"" and the involvement of a US-European team of scientists further support the prediction of a {placeholder} topic.",Sci/Tech,5,5
,565,HM,,,,,
,565,SMV,"""india ' s tata makes powerful debut shares in indian software services giant tata consultancy close 16 higher on their market debut , raising \ $ 1 . 2bn for the company .""","The phrase » market debut « 
as well as the word » indian « 
are most salient.",,,
16,1069,GPT,smith setback for windies west indies have been forced to make a second change to their champions trophy squad because of injury . dwayne smith is suffering from a shoulder problem and has been replaced by ryan hinds .,"The importance scores show that the words ""champions,"" ""trophy,"" ""squad,"" and ""injury"" have high importance scores, indicating that the article is likely about a {placeholder} team and their participation in a tournament. Additionally, the name ""Smith"" appears multiple times with high importance scores, suggesting that he is a key player on the team. Overall, the importance scores suggest that the article is indeed about {placeholder}, specifically a team dealing with injuries and making changes to their lineup for a tournament.",Sports,6,7
,676,HM,,,,,
,676,SMV,us edge out brazil for gold the united states beat brazil 2 - 1 in extra time to win the women ' s olympic football tournament .,"The phrase » olympic football tournament « 
is most important for the prediction. 
The word » the « is also salient.",,,
17,6802,GPT,"""notre dame to interview utah  39 ; s meyer university of notre dame officials are apparently prepared to interview utah football coach urban meyer as early as tonight , only two days after the school fired coach tyrone willing ham after three seasons .""","The words ""interview,"" ""football,"" ""coach,"" and ""fired"" have high importance scores, indicating that they are strongly associated with the topic of {placeholder}. Additionally, the mention of the Utah football coach and the firing of the previous coach further suggest that this article is related to {placeholder}.",Sports,7,7
,687,HM,,,,,
,687,SMV,"""union leaders held under esma on day 6 of strike new delhi , august 26 : the sixth day of the truckers strike on thursday saw 12 more truckers being arrested under the essential services maintenance act ( esma ) in the capital .""","Both words 
» truck « and » capital « 
were used by the model to make its prediction.",,,
18,6991,GPT,siebel looks to midmarket to bolster revenues crm software giant siebel systems said yesterday that it is launching a new program that will cater to small and midsize businesses in a bid to help it boost flat revenues .,"The topic classifier predicted this news article as '{placeholder}' because 
the words 'mid-market', 'revenues', 'software giant', 'systems', 'small', 'businesses', 'boost', and 'flat revenues' received high importance scores, indicating that the article discusses a {placeholder}-related topic, specifically about a software company launching a new program to help small and mid-sized {placeholder} improve their revenues.",Business,6,7
,689,HM,,,,,
,689,SMV,"""vote 2004 - a guide to the primary get ready for the primary with the herald - tribunes special news section profiling all the federal , state and local candidates in races in tuesdays election .""","The three most important tokens are
» election «,  » federal « and » candidates «.",,,
19,5136,GPT,wells fargo computers stolen identity thieves may have obtained information on thousands of wells fargo mortgage and student loan customers .,"The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores of 'wells', 'fargo', 'mortgage', 'student', and 'loan'. These words are commonly associated with {placeholder}, which falls under the '{placeholder}' category. Additionally, the mention of computers being stolen and identity theft also suggests a financial crime, further supporting the '{placeholder}' prediction.",Business,7,7
,719,HM,,,,,
,719,SMV,"""us economic growth slips to 2 . 8 annual us economic growth fell to 2 . 8 in the second quarter of 2004 , marking a slowdown from the 3 estimated a month ago .""","The phrase 
» economic growth fell « 
is most important for the prediction.",,,
20,6030,GPT,"""google shows it  39 ; s only human shares of google slipped after the search engine warned , for the second time in a week , that its fourth - quarter revenue growth rate is likely to slow from previous quarters .""","The importance scores indicate that the article is focused on the {placeholder} performance of Google. The words ""revenue growth rate"" and ""quarters"" have high importance scores, suggesting that the article is discussing {placeholder} metrics. Additionally, the word ""warned"" has a positive importance score, indicating that it is likely discussing a potential issue or problem in {placeholder}. Overall, the importance scores suggest that this article is focused on {placeholder} news, which aligns with the topic classifier's prediction.",Business,7,7
,857,HM,,,,,
,857,SMV,"""jays power up to take finale contrary to popular belief , the power never really snapped back at skydome on sunday . the lights came on after an hour delay , but it took some extra time for the batting orders to provide some extra wattage .""","The phrase » time for the batting orders « 
and the word » sunday « 
are indicative of the model's topic classification.",,,
21,2679,GPT,"""pc sales hot for 2004 , but will soon cool off pc shipments in the second quarter grew faster than any three - month period since 1999 , idc said monday , citing the continued pent - up demand for replacement systems as the driving force behind the sales surge .""","The topic classifier predicted this news article as '{placeholder}' because 
the words ""pc sales,"" ""shipments,"" ""demand,"" ""replacement systems,"" and ""sales surge"" have high importance scores, indicating that the article is likely discussing {placeholder}-related trends and numbers in the PC industry.",Sci/Tech,6,6
,955,HM,,,,,
,955,SMV,"""ubs pays 265 million dollars for schwab capital markets business ( afp ) afp - swiss banking group ubs said that it had paid 265 million dollars ( 219 million euros ) to buy soundview , the capital markets division of online broker charles schwab to strengthen its position on the us nasdaq market .""","The phrase 
» division of online « 
and the word » market . « 
were most salient.",,,
22,3883,GPT,"""video game leaked on internet halo 2 , one of the most anticipated video games of the year , got an early release date , but not the way fans or its publisher , microsoft , had hoped .""","The importance scores indicate that the news article is related to video games and {placeholder}, with words like ""video game,"" ""internet,"" ""Halo 2,"" and ""Microsoft"" receiving high importance scores. This aligns with the '{placeholder}' topic and likely influenced the topic classifier's prediction.",Sci/Tech,6,6
,1029,HM,,,,,
,1029,SMV,google shares down ahead of first lockup expiry shares in newly public google inc . fell 2 percent on wednesday as investors braced for the expiration of a lockup period that has kept insiders at the web search company from selling stock .,"The phrase » web search company « 
is most important for the prediction. 
Punctuation is also an important feature.",,,
23,1178,GPT,"""sales aren # 39 ; t making the grade retailers in michigan delighted when students returned to the classroom , but the back - to - school sales haven # 39 ; t generated the kind of dollars many projected .""","The importance scores suggest that the article is related to sales and retailers in Michigan, which are typically associated with {placeholder}. The article also mentions the amount of money generated by back-to-school sales, further reinforcing the {placeholder} theme.",Business,6,6
,1052,HM,,,,,
,1052,SMV,"""as french school year begins , iraq crisis tests head scarf ban paris - - school doors open for 12 million french children today , but there is far more at stake this year than back - to - school jitters .""","The phrase » 12 million french children today « 
is most important in this article.",,,
24,676,GPT,us edge out brazil for gold the united states beat brazil 2 - 1 in extra time to win the women ' s olympic football tournament .,"The importance scores suggest that the article is about a {placeholder} event, particularly a women's Olympic football tournament, where the United States beat Brazil in extra time to win gold. The words 'gold,' 'win,' 'tournament,' and 'football' have high importance scores, indicating that they are strongly associated with the '{placeholder}' topic.",Sports,7,7
,1062,HM,,,,,
,1062,SMV,"""red hat replaces cfo red hat on thursday named charles peters jr . as executive vice president and chief financial officer . peters replaces kevin thompson , who unexpectedly announced his resignation in june , a few days before the""","The words » red « and » days « 
as well as punctuation 
were important for this outcome.",,,
25,6921,GPT,oil falls to 4 - month low on signs of heating - oil supply rise crude oil fell to the lowest in more than four months on speculation that warm weather and increased refinery production bo lster ed us heating - oil stock pile s last week .,"The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores of words such as 'oil', 'supply', 'crude', 'production', and 'stockpile', which are all related to the oil industry and its impact on {placeholder}. Additionally, the mention of speculation and signs of heating also suggest a potential impact on {placeholder}.",Business,6,6
,1069,HM,,,,,
,1069,SMV,smith setback for windies west indies have been forced to make a second change to their champions trophy squad because of injury . dwayne smith is suffering from a shoulder problem and has been replaced by ryan hinds .,"The phrases 
» squad because « and » their champions «
are both important.",,,
26,5981,GPT,"""india desperate for jobs , infrastructure despite economic boom ( af p ) af p - despite india ' s economic boom in software and outs our cing services , economists have warned the government needs more reforms to create jobs in manufacturing to cut poverty .""","The importance scores suggest that the article primarily discusses the {placeholder} boom in India's software and outsourcing services industry, which is a topic related to {placeholder}. However, the importance scores also indicate that the article discusses the need for more reforms to create jobs in manufacturing and reduce poverty, which are not necessarily related to the '{placeholder}' topic. Overall, the article may be predicted as '{placeholder}' due to its emphasis on India's {placeholder} industry.",Business,5,5
,1178,HM,,,,,
,1178,SMV,"""sales aren # 39 ; t making the grade retailers in michigan delighted when students returned to the classroom , but the back - to - school sales haven # 39 ; t generated the kind of dollars many projected .""","The two most important words 
with respect to the model prediction 
are » retailers « and » sales «.",,,
27,687,GPT,"""union leaders held under esma on day 6 of strike new delhi , august 26 : the sixth day of the truckers strike on thursday saw 12 more truckers being arrested under the essential services maintenance act ( esma ) in the capital .""","The importance scores suggest that the article is related to a strike by truckers in Delhi, and the arrest of more truckers under the Essential Services Maintenance Act. However, the only word with a high importance score is ""union"", suggesting that the article may be more focused on the leaders of the union rather than the strike itself. Overall, the importance scores do not strongly support the topic classifier's prediction of '{placeholder}', but may suggest a focus on labor relations or government regulation.",Business,6,6
,1236,HM,,,,,
,1236,SMV,"""has your broadband had its fiber ? falling costs , new technology , and competition , with a nu dge from regulatory changes , are bringing fiber closer to homes in the us just a few years after the idea seemed all but written off .""","The phrase 
» broadband had its fiber ? «
is most salient, 
but punctuation was also important.",,,
28,1052,GPT,"""as french school year begins , iraq crisis tests head scarf ban paris - - school doors open for 12 million french children today , but there is far more at stake this year than back - to - school jitters .""","The topic classifier predicted this news article as '{placeholder}' 
because of the high importance scores for the words 'French', 'children', and 'Paris', which suggest that the article is discussing a topic related to France and its people. Additionally, the mention of the 'Iraq crisis' and 'head scarf ban' indicate that the article may be discussing {placeholder} or events.",World,6,6
,1252,HM,,,,,
,1252,SMV,retailers looking to move plasma tv ' s ( ap ) ap - hanging stockings by the chimney with care ? retailers hope that st . nicholas soon will be there  151 ; to hang a 42 - inch plasma - screen tv .,"The word » retailers « 
and the phrases » stockings by « 
and » to move « 
are all important.",,,
29,5377,GPT,fa plan new united - arsenal talks the football association are set to wait until after the conclusion of any disciplinary action against arsene wenger before trying to broker a peace summit between arsenal and manchester united .,"The words ""football"" and ""association"" have the highest importance scores, indicating that they are strongly associated with the topic of {placeholder}. Additionally, the words ""arsenal"" and ""manchester united"" have positive scores, suggesting that they are relevant to a {placeholder}-related article. Overall, the presence of these {placeholder}-related terms likely led the topic classifier to predict this article as being about {placeholder}.",Sports,7,7
,1317,HM,,,,,
,1317,SMV,florida deaths blamed on hurricane frances state and local officials tuesday said nine people have died in florida because of hurricane frances . the following describes those deaths : - a 15 - year - old grandson and a former son,"The two most important tokens were 
» deaths « (occurring twice) 
and » officials «. ",,,
30,1236,GPT,"""has your broadband had its fiber ? falling costs , new technology , and competition , with a nu dge from regulatory changes , are bringing fiber closer to homes in the us just a few years after the idea seemed all but written off .""","The importance scores indicate that the article is discussing {placeholder} advancements in broadband and fiber connectivity, as well as regulatory changes and competition in the industry. This aligns with the '{placeholder}' topic and likely contributed to the classifier's prediction.",Sci/Tech,5,4
,1321,HM,,,,,
,1321,SMV,congressman spratt wants fed to us representative john spratt of south carolina said the federal reserve should go lightly # 39 ; # 39 ; on raising the benchmark interest rate because of the economy .,"» economy « and » federal « 
are most salient for the prediction, 
but the phrase » interest rate « is also important.",,,
31,3672,GPT,rumors suggest photo ability to be added to ipod quo t ; apple has invested heavily in technology to edit pictures . not having a portable device to show them seemed an obvious oversight that would be corrected once the price of the displays,"The importance scores suggest that the article discusses {placeholder} related to editing pictures, specifically the ability to add photos to an iPod. The mention of Apple investing heavily in this {placeholder} also supports the '{placeholder}' prediction.",Business,4,4
,1427,HM,,,,,
,1427,SMV,"""teenager charged with creating sasser informants , seeking a reward from microsoft , led police to the german student .""","The words » microsoft , « and » student . « 
(including punctuations) are most salient.",,,
32,4540,GPT,"""miss peru takes miss world crown twenty - year - old miss peru has been crowned miss world in a southern chinese resort town , as china looks to become the regular host of an event that would have once been deemed here tical by its communist leaders .""","The words 'Peru', 'crowned', 'Miss World', 'Chinese resort town', 'China', 'host', 'event', 'communist leaders' are important in predicting the '{placeholder}' topic. The article discusses how Peru's representative won the Miss World pageant in a Chinese resort town, and how China is becoming a regular host of the event despite its communist leadership. These {placeholder} connections and events make the article relevant to the '{placeholder}' topic.",World,4,5
,1480,HM,,,,,
,1480,SMV,"""ceo eisner to step down in sept 2006 - wsj new york ( reuters ) - michael eisner plans to step down as walt disney co . ' s chief executive when his contract expires in september 2006 , the wall street journal said on friday .""","The span » walt disney co . « 
is most important for the outcome.",,,
33,3867,GPT,"""oil rallies to new record high crude oil futures rallied late friday to a new record high of \ $ 54 . 90 , a day after a decline in the us inventory of heating oil roiled a market already on edge over tight supplies , high demand and unrest among key producers .""","The importance scores show that the words 'oil', 'record high', 'futures', 'market', 'supplies', 'demand', and 'producers' have higher scores, indicating that they are more important in predicting the '{placeholder}' topic. This suggests that the article is likely discussing the {placeholder} implications of the oil market, including supply and demand dynamics and the impact on producers.",Business,6,6
,1494,HM,,,,,
,1494,SMV,telescope snaps distant ' planet ' the first direct image of a planet circling another star may have been obtained by a us - european team of astronomers .,"The phrase » distant ' planet ' « 
was most important for the model's judgment.",,,
34,5695,GPT,american deaths the pentagon has released the names of the following us service members killed recently in iraq :,"The topic classifier predicted this news article as '{placeholder}' because 
the word ""Iraq"" has a very high importance score of 4.65, indicating that it is the most significant word in the article for predicting a {placeholder}-related topic. Additionally, other words such as ""service members"" and ""killed"" also have high importance scores, suggesting that the article is likely about a significant event or tragedy related to the military or {placeholder} conflict.",World,7,7
,1691,HM,,,,,
,1691,SMV,"german investor confidence slumped in september berlin - german investor confidence dropped sharply in september , a key economic indicator released tuesday showed amid concerns about the impact of high oil prices on consumer demand and the outlook for the global economy .","The most salient words in this article are 
» economy «, » investor « and » oil «.",,,
35,2523,GPT,fans honour legend clough thousands of football fans fell silent today to honour the life and achievements of legendary manager brian clough . a public tribute was held in nottingham city centre and a minute,"The words ""football"", ""fans"", ""manager"", ""tribute"", and ""life"" have high importance scores, indicating that they are strongly associated with the topic of {placeholder}. Additionally, the mention of a public tribute being held further supports the connection to {placeholder}.",Sports,6,6
,1785,HM,,,,,
,1785,SMV,"ferrero advances ; moya stunned in rainy beijing beijing , china ( sports network ) - for the second time in as many days , rain was a major factor at the inaugural \ $ 500 , 000 china open .","The phrase » ( sports network « is most important,
while the words » inaugural « and » beijing , « 
are also salient.",,,
36,2746,GPT,sales boost for house of fraser shares in uk department store group house of fraser have risen after the firm said it had cut half - year losses and was seeing solid sales growth .,"The words ""sales"", ""boost"", ""house of fraser"", ""shares"", ""department store"", ""group"", ""risen"", ""firm"", ""cut"", ""year"", ""losses"", ""solid"", ""sales growth"" have high importance scores, indicating that they are strongly associated with {placeholder} news. This suggests that the article likely contains information about the {placeholder} performance of House of Fraser, which is relevant to the {placeholder} industry.",Business,7,7
,1840,HM,,,,,
,1840,SMV,"""icing call out of money , out of patience , out of time , and for the foreseeable future , out of business .""","Both phrases 
» of business « and » of money « 
were most salient.",,,
37,6924,GPT,"zooks gets a five - year deal champaign , ill . - - ron zook took over illinois' struggling football program tuesday , returning to his roots and promising to turn around a team that has sunk to the bottom of the big ten since winning a league title in 2001 .","The words ""football"", ""program"", ""team"", ""league"", and ""title"" have high importance scores, indicating that they are strongly associated with the topic of {placeholder}. The article is about the hiring of a new coach for a struggling football program, which confirms the topic classifier's prediction.",Sports,7,7
,1919,HM,,,,,
,1919,SMV,"""forecasters : more hurricanes may be on way ivan , frances and charley delivered three staggering blows to the gulf coast and florida , as well as caribbean island nations , all in just five weeks .""","» hurricanes «, 
» charley delivered « 
and the word » florida «
are indicative of the model's prediction.",,,
38,5509,GPT,"""two michigan st football players arrested east lansing , michigan ( ticker ) - two michigan state football players were arrested tuesday morning for planting three homemade quot ; macgyver bombs quot ; outside a campus apartment .""","The words ""michigan,"" ""st,"" ""football,"" and ""players"" all have positive importance scores, indicating that the presence of these words strongly suggests a {placeholder}-related topic. Additionally, the words ""arrested"" and ""east lansing"" have moderate importance scores, which may suggest that these players were involved in some kind of legal issue related to their {placeholder}. Overall, the combination of these words likely led the topic classifier to predict this article as being related to {placeholder}.",Sports,6,6
,1961,HM,,,,,
,1961,SMV,boxer begs bush to back bum bill members of california ' s congressional team make one last effort to look good for the tech industry back home .,"The phrase » tech industry « 
is most important for the prediction, 
but the word » congressional « is also salient.",,,
39,1317,GPT,florida deaths blamed on hurricane frances state and local officials tuesday said nine people have died in florida because of hurricane frances . the following describes those deaths : - a 15 - year - old grandson and a former son,The importance scores do not indicate why the topic classifier predicted this news article as '{placeholder}'. The scores only indicate the importance of each word in the text for the topic classifier.,World,1,1
,1989,HM,,,,,
,1989,SMV,"""after being bounced around florida is bouncing back although the three hurricanes that have hit florida led to a broad economic slowdown , the glimmerings of a miniboom are already apparent .""","The phrase » broad economic « 
is most important for the prediction 
with the word » down « also being salient.",,,
40,346,GPT,"""salesforce . com 2q profit up sharply software developer salesforce . com inc . posted a sharp rise in second - quarter profit on better - than - expected revenue during its first quarter as a public company , but investors shunned the stock in late trading""","The importance scores indicate that the news article is about sales and profit, with a focus on a software developer called SalesForce.com Inc. The article reports a sharp rise in profit during the second quarter, which is better than expected, and mentions the company's revenue during its first quarter as a public company. Investors' reactions to the news are also mentioned. These topics are all related to {placeholder}, which is why the topic classifier predicted this news article as '{placeholder}'.",Sci/Tech,5,5
,2110,HM,,,,,
,2110,SMV,united apology over website abuse manchester united have been forced to issue an embarrassing apology to liverpool for an ill - advised attack on the an field outfit on its own website .,"The two phrases 
» over website « and » own website « 
were important for the model's outcome.",,,
41,6776,GPT,"bad weather blamed for indon crash bad weather was the main cause of an accident which killed 26 people aboard an airplane whose spoiler did not work well , indonesian investigators said today .","The importance scores suggest that the news article is about an airplane crash in Indonesia that killed 26 people. The main cause of the crash was bad weather, which is a {placeholder} issue that could potentially affect people {placeholder}. Additionally, the fact that investigators are involved suggests that it is a significant event that has garnered international attention. Therefore, the topic classifier predicted this news article as '{placeholder}'.",World,6,6
,2112,HM,,,,,
,2112,SMV,"""web ex launches sales center web ex communications is expanding its web con fer en cing service with an offering designed for sales professionals , the company plans to announce this week .""","The span » this week . « is most important.
The word » web « is also salient.",,,
42,5839,GPT,"""google shares released for sale employees and some investors in google will be able to sell shares in the company as the latest """" lockup """" phase on sales ends .""","The topic classifier predicted this news article as '{placeholder}' because 
words like ""Google"", ""shares"", ""sell"", ""lockup phase"", and ""sales"" have high importance scores. These words are commonly associated with {placeholder} and {placeholder} markets, which are often covered in '{placeholder}' news.",Business,6,6
,2122,HM,,,,,
